location_name,cause_name,measure,number_change_2050_2019,age_structure_contribution,age_structure_contribution_Q1,age_structure_contribution_Q3,population_size_contribution,population_size_contribution_Q1,population_size_contribution_Q3,all_other_reasons_contribution,all_other_reasons_contribution_Q1,all_other_reasons_contribution_Q3,number_attributed_to_age_structure,number_attributed_to_age_structure_Q1,number_attributed_to_age_structure_Q3,number_attributed_to_population_size,number_attributed_to_population_size_Q1,number_attributed_to_population_size_Q3,number_attributed_to_all_other_reasons,number_attributed_to_all_other_reasons_Q1,number_attributed_to_all_other_reasons_Q3
Armenia,All causes,DALYs,-30035.7,50.3,46.3,56.4,30.8,29.2,31.5,18.9,14.4,22.2,-15108.8,-13911.6,-16926,-9264.6,-8769.8,-9457.7,-5662.3,-4339.9,-6666.4
Azerbaijan,All causes,DALYs,353756.3,42.1,40.2,43.7,33.9,33.6,34.3,24,22.8,25.5,148963.6,142122.7,154489.9,119827,118722.2,121451,84965.7,80544.3,90182.7
Georgia,All causes,DALYs,-32287.3,58.8,50.4,79.9,28.5,24.1,28,12.7,-4,21.6,-18980.7,-16264.3,-25789.9,-9193.1,-7777.8,-9044.5,-4113.5,-6978.4,1280.4
Kazakhstan,All causes,DALYs,1594907.6,41.2,39.9,42.8,43.9,47,47.5,15,10.2,12.6,656526.3,635829.8,682238.8,699388.8,749230.3,758179.2,238992.5,163438.5,200898.6
Kyrgyzstan,All causes,DALYs,249326.7,41.5,39.3,43,45.3,47,49.5,13.2,13.7,7.5,103462.5,107246.7,97905.9,113032,117236.4,123348.8,32832.3,18731.3,34184.4
Mongolia,All causes,DALYs,4555.8,42.9,41.4,44.8,47.2,43.3,45.7,9.9,15.2,9.5,1954.2,1888.3,2040.9,2150.3,1974.8,2080.7,451.3,434.2,692.8
Tajikistan,All causes,DALYs,972408.4,37,34.3,38.9,55.3,46.3,51.3,7.7,19.4,9.9,359877.4,333670.5,377854.7,537929.9,450122.6,498594.2,74601.1,188615.3,95959.5
Turkmenistan,All causes,DALYs,478979.4,38.5,35.9,40.4,56.8,53.8,58.3,4.7,1.3,10.3,184200,171953.3,193573.1,272252.1,257637.5,279299.4,22527.3,49388.6,6106.9
Uzbekistan,All causes,DALYs,8671667.8,42.1,39,45.3,34.1,34,36.6,23.8,18,27,3647704.2,3386010.2,3932149.2,2961180.2,2948038,3175642.6,2062783.4,1563875.9,2337619.6
Albania,All causes,DALYs,-32362.4,50.5,45.7,61.3,28.4,22,29.6,21.1,16.6,24.8,-16330.8,-14788.1,-19853.6,-9206.5,-7128.4,-9563.7,-6825.2,-5380.4,-8010.6
Bosnia and Herzegovina,All causes,DALYs,-180432.3,49,45,56.4,27.7,23.3,29.8,23.3,20.3,25.2,-88420.8,-101767.1,-81121.1,-49891.6,-42018,-53772.2,-42119.9,-36647.2,-45539
Bulgaria,All causes,DALYs,-779411.5,88.4,-74.3,290.3,0.2,-146.1,117.8,11.4,-44.2,56.5,-689076.4,-2262632.3,578983.8,-1699.2,-918142.1,1139101.1,-88635.8,-440253.2,344119.7
Croatia,All causes,DALYs,-321952.6,55.9,48.3,76.8,21.7,28.5,9.4,22.5,13.8,23.2,-179891.8,-155514.1,-247313.8,-69717.8,-30152.2,-91634.4,-72342.9,-44486.6,-74804.1
